
Docket ID,Docket Title,Agency,Docket Type,Petition Number,RIN,
"EPA-HQ-OW-2018-0149","Revised Definition of “Waters of the United States” ","EPA","Rulemaking",N/A,"2040-AF75",


Document Title,Document Type,Attachment Count,Submitter Last Name,Submitter First Name,Organization,Document ID,Posted Date,Received Date,Comment Start Date,Comment Due Date,Implementation Date,Effective Date,Related RINs,Document SubType,Subject,Abstract,Status,Source Citation,OMB Approval Number,FR Citation,Federal Register Number,Start End Page,Special Instructions,Legacy ID,Post Mark Date,File Type,Number Of Pages,Paper Width,Paper Length,Exhibit Type,Exhibit Location,Document Field_1,Document Field_2,Document Detail
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-8585","05/04/2019","04/14/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/14/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8585
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-1144","03/14/2019","03/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-1144
"Comment submitted by J. M. Gregory","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-10043","05/08/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10043
"Anonymous public comment","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-10886","05/09/2019","04/14/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/14/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10886
"Comment submitted by Ellen Gilinsky, President, Ellen Gilinsky, LLC","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-3641","04/11/2019","04/04/2019",N/A,N/A,N/A,N/A,N/A,"Company/Organization Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/04/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-3641
"Comment submitted by S. Bailey","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-4053","04/15/2019","04/09/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/09/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4053
"Comment on EPA-HQ-OW-2018-0149-0003","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-8928","05/04/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8928
"Comment submitted by K. Webber","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-7237","05/01/2019","04/02/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/02/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7237
"Comment submitted by D. Connors","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-7796","05/01/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7796
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-7505","05/01/2019","04/12/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/12/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7505
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-6506","04/29/2019","04/10/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/10/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-6506
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-6654","04/29/2019","04/11/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/11/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-6654
"Comment submitted by Nicole Silk, President, River Network","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-6832","04/29/2019","04/12/2019",N/A,N/A,N/A,N/A,N/A,"Company/Organization Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/12/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-6832
"Comment submitted by D. Speas","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-10948","05/09/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10948
"Comment submitted by L. Fujii","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-2650","03/29/2019","03/21/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/21/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-2650
"Comment submitted by M. Riley","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-9475","05/07/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-9475
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-2349","03/27/2019","03/18/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/18/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-2349
"Mass Comment Campaign sponsored by Clean Water Action (web)","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-5508","04/27/2019","04/14/2019",N/A,N/A,N/A,N/A,N/A,"Mass Mail Campaign",N/A,"Only 23,368 of the 23,668 comments mentioned by the submitter were received.","Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/14/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5508
"Comment submitted by H. Esworthy","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-1610","03/19/2019","03/14/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/14/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-1610
"Comment submitted by Randy E. Stookey, Senior Vice President, General Counsel, Renew Kansas Association (Renew Kansas)","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-5424","04/25/2019","04/13/2019",N/A,N/A,N/A,N/A,N/A,"Company/Organization Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/13/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5424
"Comment submitted by A. Casto","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-7848","05/01/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7848
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-6679","04/29/2019","04/11/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/11/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-6679
"Comment submitted by J. G. Andre Monette, Best Best & Krieger LLP on behalf of the City of Corona","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-5090","04/23/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Government Local",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5090
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-1444","03/18/2019","03/12/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/12/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-1444
"Comment submitted by M. Hague","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-0559","03/06/2019","02/28/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"02/28/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-0559
"Comment submitted by S. Johnson","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-10373","05/08/2019","02/22/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"02/22/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10373
"Comment submitted by W. Huggins","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-4703","04/18/2019","04/02/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/29/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4703
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-7299","05/01/2019","04/11/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/11/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7299
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-9097","05/04/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-9097
"Comment submitted by E. Campbell","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-6116","04/29/2019","03/25/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/25/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-6116
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-3260","04/09/2019","04/01/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/01/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-3260
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-2263","03/27/2019","03/19/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/19/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-2263
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-7907","05/01/2019","03/12/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/12/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7907
"Comment submitted by Molly E. Arp Newell, President, EnviroNET, Inc.","PUBLIC SUBMISSIONS","2",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-9619","05/07/2019","04/11/2019",N/A,N/A,N/A,N/A,N/A,"Company/Organization Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/11/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-9619
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-8437","05/04/2019","04/13/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/13/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8437
"Comment submitted by D. Kuzloski","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-10688","05/08/2019","04/10/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/10/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10688
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-1411","03/18/2019","03/12/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/12/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-1411
"Comment submitted by S. Paskey","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-10081","05/08/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10081
"Comment submitted by G. Edmonds","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-2625","03/29/2019","03/11/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/04/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-2625
"Comment submitted by Jerome S. Konter, NAHB 3rd,  Vice Chairman, Home Builders Association of Greater Savarmah","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-9112","05/04/2019","04/26/2019",N/A,N/A,N/A,N/A,N/A,"Company/Organization Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-9112
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-1241","03/18/2019","03/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-1241
"Comment submitted by K. Doerfler","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-9454","05/07/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/14/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-9454
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-1629","03/19/2019","03/14/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/14/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-1629
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-1438","03/18/2019","03/12/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/12/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-1438
"Comment submitted by K. Seibel","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-10263","05/08/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10263
"Comment submitted by A. Harris","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-10199","05/08/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10199
"Comment submitted by T. Bova","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-3832","04/15/2019","04/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-3832
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-6216","04/29/2019","04/03/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/03/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-6216
"Comment submitted by D. Liebel","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-10178","05/08/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10178
"Comment submitted by J. Harms","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-5605","04/29/2019","02/22/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"02/22/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5605
"Mass Comment Campaign sponsored by DeKalb County Farm Bureau (paper)","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-5496","04/25/2019","04/12/2019",N/A,N/A,N/A,N/A,N/A,"Mass Mail Campaign",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/03/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5496
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-1013","03/14/2019","03/07/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/07/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-1013
"Comment submitted by Gene E. Likens, Founding Director and President, Emeritus of the Cary Institute of Ecosystem Studies","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-0801","03/13/2019","03/06/2019",N/A,N/A,N/A,N/A,N/A,"Company/Organization Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/06/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-0801
"Comment submitted by Steve Trussell, Executive Director, Arizona Mining Association (“AMA”)","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-4811","04/19/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Company/Organization Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4811
"Comment submitted by Jolene M. Thompson, AMP Executive Vice President and OMEA Executive Director, American Municipal Power, Inc. (AMP) and the Ohio Municipal Electric Association (OMEA)","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-5461","04/25/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Company/Organization Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5461
"Comment submitted by C. WIlson","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-0700","03/08/2019","03/05/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/05/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-0700
"Comment submitted by N. Johnson","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-2407","03/27/2019","03/18/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/18/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-2407
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-7865","05/01/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7865
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-1877","03/25/2019","03/14/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/14/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-1877
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-1238","03/18/2019","02/25/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"02/25/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-1238
