Docket ID,Docket Title,Agency,Docket Type,Petition Number,RIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA-HQ-OW-2018-0149,Revised Definition of “Waters of the United States” ,EPA,Rulemaking,N/A,2040-AF75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Document Type,Attachment Count,Submitter Last Name,Submitter First Name,Organization,Document ID,Posted Date,Received Date,Comment Start Date,Comment Due Date,Implementation Date,Effective Date,Related RINs,Document SubType,Subject,Abstract,Status,Source Citation,OMB Approval Number,FR Citation,Federal Register Number,Start End Page,Special Instructions,Legacy ID,Post Mark Date,File Type,Number Of Pages,Paper Width,Paper Length,Exhibit Type,Exhibit Location,Document Field_1,Document Field_2,Document Detail,,,
"Comment submitted by Jan Himebaugh, Government Affairs Director, 
Building Industry Association of Washington (BIAW)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-2867,4/2/19,3/27/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/27/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-2867,,,
"Comment submitted by Wayne Doelling, Matthes Farms Inc.",PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-3516,4/10/19,4/4/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/4/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-3516,,,
"Comment submitted by Susan Colvin, Assistant Professor of Sustainable Fisheries, School of Biodiversity Conservation and Randall Colvin, Instructor, School of Biodiversity Conservation, Unity College",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4522,4/18/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4522,,,
"Comment submitted by Bayard C. Ewing, Chairman, Conservation Committee, Colorado Native Plant Society (CoNPS)",PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-3671,4/11/19,4/5/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/5/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-3671,,,
"Chad Gregory, President and Chief Executive Officer, United Egg Producers (UEP)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4757,4/19/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4757,,,
"Comment submitted by Bob Heil, Executive Director, Brodhead Watershed Association",PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-10137,5/8/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10137,,,
"Comment submitted by Terri L. Jensen, ALC Accredited Land Consultant/Realtors Land Institute) Managing Broker, National Land Realty",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5367,4/25/19,4/12/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/12/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5367,,,
"Comment submitted by Steve Reiter, Chairman, Arizona Council of Trout Unlimited",PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-3292,4/9/19,4/2/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/2/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-3292,,,
"Comment submitted by Gary L. Beach, Chief Administrative Officer (CAO), Duroux Ditch Company",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4524,4/18/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4524,,,
"Comment submitted by Carin High, Co-Chair, Citzens Committee to Complete the Refuge",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4970,4/22/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,pdf,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4970,,,
"Comment submitted by Natalie Mamerow, American Society of Civil Engineers (ASCE)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5046,4/23/19,4/12/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/12/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5046,,,
"Comment submitted by Scott H. Ensign, Ph.D., Assistant Director and David B. Arscott, PhD, Executive Director, Stroud Water Research Center",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4950,4/22/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4950,,,
"Comment submitted by Christopher E. Williams, Senior Vice President, Conservation, American Rivers",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-8155,5/1/19,4/22/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8155,,,
"Comment submitted by Nevy J. Cilio, Puget Soundkeeper Alliance",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4797,4/19/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4797,,,
"Comment submitted by Mary Sullivan, National Religious Partnership for the Environment",PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-8004,5/1/19,4/14/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/14/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8004,,,
Comment submitted by M. Groenke,PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-8915,5/4/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8915,,,
"Comment submitted by Mary Anne Cooper, Vice President of Public Policy,
Oregon Farm Bureau et al.",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4990,4/22/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/25/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4990,,,
"Comment submitted by Jordan K. Lamb, DeWitt Law Firm on behalf of the Wisconsin State Cranberry Growers Association (WSCGA)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4491,4/18/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4491,,,
"Comment submitted by Matt Vitello, Policy Coordinator, Missouri Department of Conservation",PUBLIC SUBMISSIONS,2,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5329,4/24/19,4/17/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5329,,,
"Comment submitted by Carlos V. Lugo, General Manager, Helix Water District",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5177,4/24/19,4/12/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/12/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5177,,,
"Comment submitted by Roland Lewis, CEO & President, Waterfront Alliance",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-3203,4/8/19,4/3/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/3/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-3203,,,
"Comment submitted by Joseph Jacob, President, The Haw River Canoe & Kayak Co.",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-10429,5/8/19,3/27/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/27/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10429,,,
Comment submitted on behalf of National Wildlife Federation and American Rivers,PUBLIC SUBMISSIONS,2,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4899,4/22/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4899,,,
"Comment submitted by Meghan Boian, Legislative Associate, Southern Environmental Law Center on behalf of Alabama Rivers Alliance et al.",PUBLIC SUBMISSIONS,2,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-0967,3/13/19,3/8/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/8/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-0967,,,
"Comment submitted by Karen Holl, Professor of Environmental Studies, University of California, Santa Cruz",PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-0175,2/22/19,2/14/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2/14/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-0175,,,
"Comment submitted by Joe Atalla, President, Idaho Building Contractors Association (IBCA)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-2983,4/4/19,4/2/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-2983,,,
"Comment submitted by Katie Sweeney, National Mining Association(NMA)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4608,4/18/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4608,,,
"Comment submitted by Gregory Waltz, Michigan Council of Trout Unlimited (TU)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-3482,4/10/19,3/25/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/25/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-3482,,,
"Comment submitted by David W. Robertson, Owner, Home Builder's Association of Southeastern Michigan (HBA)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-9840,5/7/19,4/8/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/2/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-9840,,,
"Comment submitted by F. Paul Calamita, General Counsel, South Carolina Water Quality Association (SCWQA)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-9678,5/7/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-9678,,,
"Comment submitted by Laura S. Craig, PhD, Director of Science & Economics, American Rivers, et al.",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4909,4/22/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4909,,,
"Comment submitted by Terry Humfeld, Executive Director, The Cranberry Institute (CI)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5363,4/25/19,4/12/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/12/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5363,,,
"Comment submitted by Bronson Corn, President, New Mexico Wool Growers, Inc. (NMWGI)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4945,4/22/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4945,,,
"Comment submitted by Brian Fannon,Yadkin Riverkeeper, Inc.",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4835,4/19/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4835,,,
Comment submitted by American Society of Ichthyologists and Herpetologists,PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4275,4/16/19,4/1/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/1/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4275,,,
"Comment submitted by David Olson, National Religious Partnership for the Environment",PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-7653,5/1/19,4/14/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/14/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7653,,,
"Comment submitted by Gary Sack, North Central Region Field Representative, California Farm Bureau Federation",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-10433,5/8/19,3/27/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/27/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10433,,,
"Comment submitted by Lynn Scarlett, Vice President, Policy and Government Relations, The Nature Conservancy",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5291,4/24/19,4/12/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/12/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5291,,,
"Comment submitted by John E. Foster, III,  President, Foster Lake & Pond Management, Inc.",PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-0346,2/25/19,2/20/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2/20/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-0346,,,
Comment submitted by J. Anderson,PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-2633,3/29/19,12/14/18,N/A,N/A,N/A,N/A,N/A,Early Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12/14/18,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-2633,,,
"Comment submitted by Tom Carper, Ranking Member, Committee on Environment and Public Works, et al., United States Senate",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5383,4/25/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Government Federal,N/A,"Other comment submitter(s) include:
* Tammy Duckworth, United States Senator
* Benjamin L. Cardin, United States Senator 
* Chris Van Hollen, United States Senator 
* Richard Blumenthal, United States Senator 
* Jeffrey A. Merkley, United States Senator 
* Sheldon Whitehouse, United States Senator 
* Martin Heinrich, United States Senator
* Cory A. Booker, United States Senator 
* Kirsten Gillibrand, United States Senator 
* Kamala D. Harris, United States Senator
*Robert P. Casey, Jr., United States Senator
*Edward J. Mackey, United States Senator
* Mazie K. Hirono, United States Senator
* Jack Reed, United States Senator
* Barbara Sanders, United States Senator",Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5383,,,
"Comment submitted by John Barrasso, Chairman, U.S. Senate Committee on Environment and Public Works",PUBLIC SUBMISSIONS,12,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-6886,4/29/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Government Federal,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-6886,,,
"Comment submitted by Peter A. Defazio, Chairman, Committee on Transportation and Infrastucture, et al., Congress of the United States",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4847,4/22/19,4/9/19,N/A,N/A,N/A,N/A,N/A,Government Federal,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/9/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4847,,,
"Comment submitted by  Major L. Clark, III, Acting Chief Counsel, et al., U.S. Small Business Administration",PUBLIC SUBMISSIONS,2,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5139,4/24/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Government Federal,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5139,,,
"Comment submitted by Rashida Tlaib, Congresswoman, 13th District, Michigan, Congress of the United States, House of Representatives",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5233,4/24/19,4/11/19,N/A,N/A,N/A,N/A,N/A,Government Federal,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/11/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5233,,,
"Comment submitted by Major L. Clark, III, et al., Acting Chief Counsel, 
Office of Advocacy U.S. Small Business Administration",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5238,4/24/19,4/11/19,N/A,N/A,N/A,N/A,N/A,Government Federal,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/11/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5238,,,
"Comment submitted by Patrick Bonck, MS Zoning Administrator, Harrison County",PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-7337,5/1/19,4/11/19,N/A,N/A,N/A,N/A,N/A,Government Local,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/11/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7337,,,
"Comment submitted by Peter Jensen, Chairperson, Eagle Spring Lake Management District",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-10930,5/9/19,4/13/19,N/A,N/A,N/A,N/A,N/A,Government Local,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/13/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10930,,,
"Comment submitted by Jim Palmer, Graham County Supervisor, District II, Graham County Board of Supervisors",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4352,4/17/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Government Local,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/11/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4352,,,
"Comment submitted by Susan Bodkin, Surveyor, Hancock County, Indiana",PUBLIC SUBMISSIONS,2,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-10304,5/8/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Government Local,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10304,,,
"Comment submitted by Nicole Rowley, Commissioner et al.,  Missoula Board of County Commissioners, Missoula County, Montana",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-2661,3/29/19,3/25/19,N/A,N/A,N/A,N/A,N/A,Government Local,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/14/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-2661,,,
"Comment submitted by Mike Stark, County Manager, San Juan County, New Mexico",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-8173,5/1/19,4/24/19,N/A,N/A,N/A,N/A,N/A,Government Local,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/11/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8173,,,
"Comment submitted by Katherine Rubin, Manager, Wastewater Quality and Compliance, Los Angeles Department of Water and Power (LADWP)",PUBLIC SUBMISSIONS,2,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-8128,5/1/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Government Local,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8128,,,
"Comment submitted by Scott Breeding, Chairman, Milner Irrigation District, Idaho",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5279,4/24/19,4/12/19,N/A,N/A,N/A,N/A,N/A,Government Local,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5279,,,
